n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
248,247,128,111,8.843,0.579934,0.00504405
249,248,128,111,8.953,0.580075,0.00459489
250,249,128,111,8.859,0.580104,0.00638625
251,250,128,111,8.748,0.580116,0.00427921
252,251,128,111,8.832,0.580134,0.00425175
253,252,128,111,8.826,0.580224,0.00421732
254,253,128,111,8.848,0.580310,0.00461172
255,254,128,111,8.862,0.580037,0.00441080
256,255,128,111,8.842,0.579975,0.00419277
257,256,128,111,8.740,0.579950,0.00408630
258,257,128,111,8.829,0.579926,0.00456887
259,258,128,111,8.834,0.579960,0.00413602
260,259,128,111,8.947,0.580016,0.00423662
261,260,128,111,8.891,0.579972,0.00367809
262,261,128,111,8.837,0.579993,0.00388105
263,262,128,111,8.850,0.579990,0.00376619
264,263,128,111,8.805,0.580123,0.00456213
265,264,128,111,8.956,0.580135,0.00407319
266,265,128,111,8.833,0.580151,0.00339906
267,266,128,111,8.929,0.580101,0.00390547
268,267,128,111,8.957,0.580106,0.00468766
269,268,128,111,8.924,0.580075,0.00380161
270,269,128,111,8.936,0.580050,0.00352308
271,270,128,111,8.838,0.580062,0.00366898
272,271,128,111,8.739,0.580082,0.00354699
273,272,128,111,8.839,0.580077,0.00470882
274,273,128,111,8.832,0.580099,0.00432185
275,274,128,111,8.846,0.579959,0.00404419
276,275,128,111,8.752,0.580048,0.00339820
277,276,128,111,9.015,0.580065,0.00411093
278,277,128,111,8.945,0.579996,0.00379984
279,278,128,111,8.839,0.580083,0.00346865
280,279,128,111,8.839,0.580125,0.00336639
281,280,128,111,8.829,0.580179,0.00356285
282,281,128,111,8.846,0.580129,0.00343394
283,282,128,111,8.838,0.580147,0.00332847
284,283,128,111,8.733,0.580202,0.00394745
285,284,128,111,8.842,0.580220,0.00448098
286,285,128,111,8.651,0.580259,0.00411901
287,286,128,111,8.735,0.580302,0.00456129
288,287,128,111,8.841,0.580347,0.00377367
289,288,128,111,8.908,0.580376,0.00315738
290,289,128,111,9.162,0.580395,0.00329404
291,290,128,111,8.819,0.580400,0.00419804
292,291,128,111,8.865,0.580469,0.00377189
293,292,128,111,8.920,0.580559,0.00406899
294,293,128,111,8.944,0.580510,0.00365518
295,294,128,111,8.858,0.580512,0.00360180
296,295,128,111,8.923,0.580573,0.00487733
297,296,128,111,8.841,0.580507,0.00361790
